Jenis,Harga,K. Mandi Dalam,WiFi,Kasur,AC,Kloset Duduk,Akses 24 Jam
3,550000,0,1,1,0,0,1
1,1800000,1,1,1,1,1,1
3,2000000,0,1,1,0,0,1
3,600000,0,1,1,0,0,1
3,700000,0,1,1,0,0,1
3,6790000,0,1,1,1,0,1
1,1200000,1,1,1,1,1,1
1,1700000,1,1,1,1,1,1
3,650000,0,1,1,0,1,0
2,700000,0,1,1,0,0,1
2,1200000,1,0,1,1,0,1
1,1230000,1,1,1,1,0,1
3,650000,0,1,1,0,1,0
2,850000,1,1,1,1,0,1
3,650000,0,1,1,0,0,1
3,900000,1,0,1,0,0,1
1,1100000,1,1,1,1,0,1
3,1200000,1,1,1,1,0,0
2,400000,0,0,1,0,1,1
3,350000,0,0,1,0,1,1
3,550000,1,0,1,0,0,1
1,1500000,1,1,1,1,1,1
2,1400000,0,1,1,1,0,1
1,3000000,1,1,1,1,1,1
1,1500000,1,1,1,1,1,1
1,1000000,1,1,1,1,0,1
1,700000,0,1,1,0,0,0
2,600000,0,1,1,0,0,1
2,1900000,0,1,0,1,0,1
2,850000,0,0,1,0,0,0
3,600000,0,0,1,0,0,0
1,1000000,1,1,1,1,1,1
1,700000,0,1,1,0,0,1
1,500000,0,1,1,0,0,0
1,1000000,0,0,1,1,1,0
1,650000,0,0,0,0,0,0
2,500000,0,1,1,0,1,1
2,750000,1,0,1,0,0,1
3,550000,0,1,1,0,0,0
3,900000,1,1,1,0,0,1
3,300000,0,1,1,0,0,0
1,600000,0,1,1,1,0,0
1,300000,0,0,1,0,0,1
1,1300000,1,1,1,1,0,1
3,700000,1,1,1,0,0,1
1,2750000,1,1,1,1,1,1
3,400000,0,0,1,0,0,0
3,1100000,1,1,1,1,1,0
2,500000,0,0,1,0,1,1
1,600000,0,1,1,0,0,1
1,800000,1,0,1,0,0,1
3,400000,0,0,1,0,1,0
1,750000,0,1,1,0,0,0
2,600000,0,0,1,0,0,1
1,2000000,1,1,1,1,1,1
3,600000,1,1,0,0,1,0
2,700000,0,1,1,0,0,1
1,3500000,1,0,1,1,0,0
1,1200000,0,1,1,1,1,1
1,1500000,1,1,1,1,1,1
1,1000000,1,1,1,1,0,1
3,2000000,1,1,1,1,0,0
2,1300000,0,1,1,1,1,0
1,2500000,1,1,1,1,1,1
2,1300000,1,1,1,1,1,0
3,1500000,1,1,1,1,1,0
2,1800000,1,1,1,1,1,0
3,850000,1,1,1,1,1,1
1,850000,1,1,1,0,1,1
3,1300000,0,1,1,1,0,1
2,2300000,1,1,1,1,1,0
3,650000,0,1,1,0,0,1
1,1550000,1,1,1,1,1,0
1,1000000,1,1,1,0,0,1
1,3500000,1,0,1,1,1,0
1,1400000,1,1,1,1,0,1
3,1500000,1,1,1,1,1,0
2,650000,0,1,1,0,0,0
